Date,Price,Open,High,Low,Vol.,Change %
21/10/2022,1.5676,1.5934,1.6103,1.5639,122.38K,-1.54%
20/10/2022,1.5921,1.5947,1.6058,1.573,138.80K,-0.14%
19/10/2022,1.5944,1.5848,1.5998,1.5806,130.90K,0.64%
18/10/2022,1.5843,1.5896,1.5961,1.5771,145.05K,-0.31%
17/10/2022,1.5893,1.6143,1.6151,1.5841,123.78K,-1.49%
14/10/2022,1.6134,1.5876,1.6144,1.5753,159.31K,1.68%
13/10/2022,1.5868,1.593,1.6207,1.5828,137.26K,-0.38%
12/10/2022,1.5929,1.5943,1.6039,1.5874,144.81K,-0.09%
11/10/2022,1.5944,1.5862,1.6009,1.5754,146.86K,0.54%
10/10/2022,1.5858,1.5682,1.5938,1.5655,134.21K,1.01%
7/10/2022,1.5699,1.5618,1.5739,1.5543,103.54K,0.62%
6/10/2022,1.5603,1.5412,1.5654,1.5286,140.74K,1.23%
5/10/2022,1.5413,1.5379,1.5584,1.5319,134.62K,0.26%
4/10/2022,1.5373,1.5345,1.5504,1.527,125.05K,0.19%
3/10/2022,1.5344,1.5601,1.5626,1.533,131.30K,-1.70%
30/09/2022,1.561,1.5383,1.5649,1.5325,130.03K,1.48%
29/09/2022,1.5382,1.5331,1.554,1.5321,132.01K,0.35%
28/09/2022,1.5328,1.5538,1.5717,1.531,146.56K,-1.35%
27/09/2022,1.5538,1.5491,1.5592,1.5351,142.79K,0.36%
26/09/2022,1.5482,1.5338,1.5536,1.5292,147.75K,1.08%
23/09/2022,1.5316,1.5049,1.5359,1.5023,125.85K,1.82%
22/09/2022,1.5042,1.5083,1.5213,1.4988,143.12K,-0.23%
21/09/2022,1.5076,1.4943,1.5103,1.4912,118.92K,0.86%
20/09/2022,1.4948,1.4864,1.4979,1.4818,108.86K,0.56%
19/09/2022,1.4865,1.4903,1.4988,1.4848,97.80K,-0.08%
16/09/2022,1.4877,1.4919,1.4993,1.4869,103.66K,-0.26%
15/09/2022,1.4916,1.4818,1.4935,1.4768,105.77K,0.68%
14/09/2022,1.4815,1.4857,1.4915,1.479,127.10K,-0.28%
13/09/2022,1.4857,1.4514,1.4868,1.4456,106.96K,2.35%
12/09/2022,1.4516,1.4604,1.4704,1.449,83.00K,-0.66%
9/09/2022,1.4613,1.4812,1.4823,1.4538,112.96K,-1.33%
8/09/2022,1.481,1.4772,1.4898,1.4763,125.34K,0.26%
7/09/2022,1.4771,1.4847,1.493,1.477,115.73K,-0.49%
6/09/2022,1.4843,1.4713,1.4864,1.4633,132.74K,0.89%
5/09/2022,1.4712,1.469,1.4766,1.4683,84.58K,0.25%
2/09/2022,1.4676,1.4732,1.4754,1.4585,109.15K,-0.35%
1/09/2022,1.4728,1.4617,1.477,1.4602,128.33K,0.75%
31/08/2022,1.4618,1.4594,1.4632,1.4481,117.18K,0.18%
